No;Cakupan;Satuan;Jumlah Kasus (Kasus);Jumlah Korban (Orang)
1;ACEH;Orang;488;490
2;SUMATERA UTARA;Orang;605;623
3;SUMATERA BARAT;Orang;309;312
4;RIAU;Orang;247;254
5;JAMBI;Orang;221;235
6;SUMATERA SELATAN;Orang;187;188
7;BENGKULU;Orang;88;90
8;LAMPUNG;Orang;197;203
9;KEPULAUAN BANGKA BELITUNG;Orang;151;153
10;KEPULAUAN RIAU;Orang;181;183
11;DKI JAKARTA;Orang;905;911
12;JAWA BARAT;Orang;1189;1208
13;JAWA TENGAH;Orang;1026;1038
14;DI YOGYAKARTA;Orang;709;713
15;JAWA TIMUR;Orang;980;1022
16;BANTEN;Orang;425;438
17;BALI;Orang;182;194
18;NUSA TENGGARA BARAT;Orang;338;343
19;NUSA TENGGARA TIMUR;Orang;628;634
20;KALIMANTAN BARAT;Orang;212;216
21;KALIMANTAN TENGAH;Orang;168;171
22;KALIMANTAN SELATAN;Orang;264;267
23;KALIMANTAN TIMUR;Orang;346;352
24;KALIMANTAN UTARA;Orang;137;139
25;SULAWESI UTARA;Orang;259;267
26;SULAWESI TENGAH;Orang;261;267
27;SULAWESI SELATAN;Orang;490;508
28;SULAWESI TENGGARA;Orang;151;153
29;GORONTALO;Orang;77;80
30;SULAWESI BARAT;Orang;79;81
31;MALUKU;Orang;167;172
32;MALUKU UTARA;Orang;187;190
33;PAPUA BARAT;Orang;61;63
34;PAPUA;Orang;50;57
35;PAPUA PEGUNUNGAN;Orang;47;48
36;PAPUA SELATAN;Orang;15;16
37;PAPUA TENGAH;Orang;75;77
38;PAPUA BARAT DAYA;Orang;59;60
39;INDONESIA;;12161;12416